Source reference,Soil name,Site label,Depth (cm),Horizon,Field/lab,Sample Height (cm),Sample diameter (cm),Method,Ksat,Units,Bulk density,Very coarse,Coarse,Medium,Fine,Very fine,Sand (%),Silt  (%),Clay (%),Coarse fragments (%),Textural class,Organic carbon,Organic matter,Units,Stdev_Bulk density,Stdev_Sand (%),Stdev_Silt  (%),Stdev_Clay (%),Stdev_Coarse_fragments (%),Textural class,Stdev_Organic carbon,Other potentally relevant info,,
3,Tifton,"Forested, Turner Co",178-244,C,lab,7.5,7.6,constant head,0.3,cm/hr,1.87,3.8,11.1,32.4,26,4.6,77.9,2.8,19.3,,,0.09,,,,,,,,,,,,
3,Tifton,"Agricultural, Tift Co",0-29,Apc,lab,7.5,7.6,constant head,0.56,cm/hr,1.72,2.8,8.9,22,28.6,12.4,74.7,16.2,9.1,,,1.28,,,,,,,,,,,,
3,Tifton,"Agricultural, Tift Co",29-41,Bwc,lab,7.5,7.6,constant head,0.97,cm/hr,2,1.6,8.4,18.7,29.2,12.8,70.7,11,18.3,,,0.36,,,,,,,,,,,,
3,Tifton,"Agricultural, Tift Co",41-78,Bt1,lab,7.5,7.6,constant head,0.51,cm/hr,1.82,3.1,8.3,17.2,22.3,9.5,60.4,8.7,30.9,,,0.23,,,,,,,,,,,,
3,Tifton,"Agricultural, Tift Co",78-117,Bt2,lab,7.5,7.6,constant head,0.85,cm/hr,1.67,2.5,8.1,18.4,23.6,10.1,62.7,8.1,29.2,,,0.21,,,,,,,,,,,,
3,Tifton,"Agricultural, Tift Co",117-138,Btv,lab,7.5,7.6,constant head,0.24,cm/hr,1.67,2.6,8.1,18,21.8,9.1,59.6,9.6,30.8,,,0.14,,,,,,,,,,,,
3,Tifton,"Agricultural, Tift Co",138-183,BC,lab,7.5,7.6,constant head,0.34,cm/hr,1.7,1.3,5.7,13.2,18.5,11.6,50.3,12,37.7,,,0.11,,,,,,,,,,,,
3,Tifton,"Agricultural, Tift Co",183-218+,C,lab,7.5,7.6,constant head,0.07,cm/hr,1.82,3.7,12.6,18.4,14.7,7.5,56.9,11.2,31.9,,,0.08,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source reference,Soil name,Site label,Depth (cm),Horizon,Field/lab,Sample Height (cm),Sample diameter (cm),Method,Ksat,Units,Ksat Yes/No,Bulk density,Very coarse,Coarse,Medium,Fine,Very fine,Sand (%),Silt  (%),Clay (%),Coarse fragments (%),Textural class,Organic carbon,Organic matter,Units,Stdev_Bulk density,Stdev_Sand (%),Stdev_Silt  (%),Stdev_Clay (%),Stdev_Coarse_fragments (%),Textural class,Stdev_Organic carbon,Other potentally relevant info,
5,Loamy Sand,Norfolk,58,Bt1,Lab,7.62,7.62,Constant Head,1.87,cm/hr,1,1.55,3.5,13.9,11.5,26,6.5,61.4,15.2,23.4,,,0.16,,,,,,,,,,,
5,Loamy Sand,Norfolk,91,Bt2,Lab,7.62,7.62,Constant Head,0.42,cm/hr,1,1.54,2.5,10.8,10.8,25.7,6.2,56,12.1,31.9,,,0.07,,,,,,,,,,,
5,Loamy Sand,Norfolk,140,Bt3,Lab,7.62,7.62,Constant Head,0.35,cm/hr,1,1.65,2.9,11.4,14.2,32.2,6.9,67.6,11,21.4,,,0.05,,,,,,,,,,,
5,Loamy Sand,Goldsboro,35,Bt1,Lab,7.62,7.62,Constant Head,4.55,cm/hr,1,1.45,3.7,11.4,17,17.5,6.4,56,16.9,27.1,,,0.38,,,,,,,,,,,
